They never brought us complimentary noodles , ignored multiple requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought them gratis noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary Pasta , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for spices , and threw their dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , overlooked repeated requests about sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought you complimentary noodles , ignored repeated requests for sugar , but threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw my dishes on our table .####[('NULL', 'service general', 'negative')]
They never brought me complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , also threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored multiple requests for sugar , and threw 'my' dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored Recurring requests for sugar , and tossed our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , disregarded repeated requests for sugar , and tossed our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , 'but' threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They Rarely brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought you complimentary noodles , ignored repeated requests for spice , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , dismissed repeated requests for sugar , Also threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary 'pasta' , ignored repeated requests for sugar , and scattered our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us gratis noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought them complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on these table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw My dishes over the table .####[('NULL', 'service general', 'negative')]
They never 'Carried' us complimentary noodles , ignored repeated requests for sugar , and threw 'my' dishes on the table .####[('NULL', 'service general', 'negative')]
They always brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought them complimentary noodles , ignored repeated requests for sugar , and threw our plates on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored Recurring requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , Dismissed repeated requests Regarding sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They seldom brought us 'free' noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought me complimentary noodles , ignored repeated requests for sugar , and threw our plates on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored Repetitive requests for sugar , ...also thrown... threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought them complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
Them never brought us complimentary noodles , 'disregarded' repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored Repeated Demands for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never carried us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
'Them' never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on their table .####[('NULL', 'service general', 'negative')]
They never Carried us complimentary noodles , ignored repeated requests for sugar , and threw our dishes upon the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary 'pasta' , ignored repeated requests for sugar , and threw our dishes on a table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes upon the table .####[('NULL', 'service general', 'negative')]
They seldom brought us Free noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary Pasta , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us gratis noodles , ignored repeated requests for sugar , and threw our dishes on this table .####[('NULL', 'service general', 'negative')]
'Them' never brought us complimentary noodles , ignored repeated requests for sugar , and threw our platters on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , Also threw our dishes upon the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on this desk .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and 'Tossed' our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on this counter .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , 'but' threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They Rarely brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on this table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests about sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
Theirs never brought us gratis noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought you complimentary noodles , ignored repeated requests for sugar , and threw my dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored Repeated requests for sugar , and Tossed our dishes on the table .####[('NULL', 'service general', 'negative')]
They never 'Carried' us complimentary pasta , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us free noodles , ignored repeated requests for sugar , also threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes over our table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , ...also thrown... threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for Spices , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for tea , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our plates over the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , Also threw our dishes on the Counter .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , dismissed repeated requests for sugar , and threw My dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored Repetitive requests about sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and Tossed our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes 'at' the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for spices , and threw our dishes on the counter .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , ...also thrown... threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , also threw our plates on the table .####[('NULL', 'service general', 'negative')]
They always brought us complimentary noodles , ignored repeated requests for sugar , and dumped our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us 'Free' noodles , ignored repeated requests for sugar , and threw our plates on the table .####[('NULL', 'service general', 'negative')]
They Rarely brought us complimentary noodles , ignored repeated requests for sugar , and Tossed our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us 'Free' noodles , ignored repeated pleas for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , dismissed repeated requests for sugar , and threw our dishes on their table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored Recurring requests for Honey , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and scattered our dishes on their table .####[('NULL', 'service general', 'negative')]
They never brought me complimentary noodles , ignored repeated requests for sugar , and threw 'my' dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on these table .####[('NULL', 'service general', 'negative')]
They never brought us 'Free' noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our utensils on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary Pasta , ignored repeated requests for sugar , also threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They rarely brought us complimentary noodles , ignored repeated requests for sugar , ...also thrown... threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes Over the table .####[('NULL', 'service general', 'negative')]
They 'always' brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on a table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests In sugar , and threw our Plates on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored Repetitive requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw their dishes On the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes 'at' the table .####[('NULL', 'service general', 'negative')]
Theirs never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us 'free' noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests about sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored Recurring requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They always brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes 'at' the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on these table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our plates over the table .####[('NULL', 'service general', 'negative')]
'Them' never brought us complimentary noodles , ignored repeated requests for tea , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for spices , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the shelf .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored Repetitive requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , ...also thrown... threw 'their' dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our plates on their table .####[('NULL', 'service general', 'negative')]
They always brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us gratis noodles , ignored repeated requests for sugar , and threw our dishes on the desk .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests Regarding sugar , and threw our dishes over the table .####[('NULL', 'service general', 'negative')]
They never brought them complimentary noodles , ignored repeated requests for sugar , and 'Tossed' our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our plates on the table .####[('NULL', 'service general', 'negative')]
Them never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes On the table .####[('NULL', 'service general', 'negative')]
They never brought We complimentary noodles , ignored repeated requests for sugar , and threw our dishes upon the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored Repetitive requests for sugar , also threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They always brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes Over the table .####[('NULL', 'service general', 'negative')]
They never bought us complimentary noodles , ignored repeated requests for spice , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on these surface .####[('NULL', 'service general', 'negative')]
They never brought us Free noodles , ignored Repetitive requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for Spices , 'but' threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and Tossed our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary ramen , ignored repeated requests for sugar , and threw our dishes on the desk .####[('NULL', 'service general', 'negative')]
Theirs never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored Repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us 'Free' Pasta , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests because sugar , and threw our platters on the table .####[('NULL', 'service general', 'negative')]
They rarely brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes 'at' the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary pasta , ignored repeated requests for sugar , and threw 'their' dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought them complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the surface .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our utensils upon the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary Pasta , ignored repeated requests for sugar , and threw our dishes upon the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests In sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw My Plates on the table .####[('NULL', 'service general', 'negative')]
They never Carried us complimentary noodles , ignored repeated Demands for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They Rarely brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored Repeated requests for sugar , but threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , but threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests because sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary 'pasta' , Dismissed repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored Repetitive requests for sugar , and threw their dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our 'tableware' over the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and dumped our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored Repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us 'free' noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary ramen , ignored repeated requests for sugar , and threw our Plates on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw 'my' Plates on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , overlooked repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the counter .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes On the surface .####[('NULL', 'service general', 'negative')]
Theirs never brought us complimentary noodles , ignored repeated requests for Spices , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never carried us complimentary noodles , ignored repeated requests because sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for tea , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and dumped our dishes on the counter .####[('NULL', 'service general', 'negative')]
They never brought me 'free' noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never Carried us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored repeated requests for sugar , and dumped our Plates on the table .####[('NULL', 'service general', 'negative')]
They never brought We complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the desk .####[('NULL', 'service general', 'negative')]
They Rarely brought us complimentary noodles , ignored repeated requests about sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , 'disregarded' persistent requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
They never brought us complimentary noodles , ignored persistent requests for sugar , also threw our dishes on the table .####[('NULL', 'service general', 'negative')]
Those food was lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
This food was lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy 'excessive' sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too Dessert or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and that portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The was lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and it portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and the portions small .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet alternatively too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too Tasty or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and the tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and the portions minute .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and the portions small .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too Tasty or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet nor too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet and too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet alternatively too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and the portions minute .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food 'is' lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and the tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy excessive sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too Dessert or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The was lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The was lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was Awful too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food 'is' lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was Awful too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
the food was lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or excessive salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
the food was lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and This portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The was lousy too sweet or too salty and the portions tiny .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and the portions small .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
The food was lousy too sweet or too salty and the portions minuscule .####[('food', 'food quality', 'negative'), ('portions', 'food style_options', 'negative')]
