ripe expensive and nutrient not very good .####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar . expensive not very good and food####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar nutrient expensive and not very good nutrient####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
food really expensive and non very good .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not not very good####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
measure . food expensive not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food . not very good nutritious expensive####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
expensive food saloon and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
expensive food prevention and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
food expensive and not very good . expensive####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and non very good .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
food expensive and selfsame not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
and expensive food Bar and non very good####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
. nutrient expensive and not very good Bar####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
barricade food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
food and expensive saloon not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
expensive and expensive food not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive not very good and .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
nutrient Bar food and expensive not very good####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
respectable expensive food and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive . non very good and####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
relegate food expensive Bar not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
food expensive and not very good block .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
. food expensive and not very good Bar####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
nutrient Bar expensive and not very good .####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
nutrient expensive and not very good . expensive####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar nutrient stripe not very good expensive .####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and non very good non####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
honest Bar and expensive nutrient not very good####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
. expensive and not very good food nutrient####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar . really expensive not very good nutrient####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
food expensive thoroughly and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
. nutrient expensive and not very good nutrient####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar nutrient expensive . not very good well####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and non very good .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
not food expensive Bar not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive . not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
good food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar nutrient . and not very good expensive####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar . expensive and non very good food####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar nutrient . and not very good expensive####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar expensive food and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
expensive Bar and expensive food not very good####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
unspoilt food expensive . not very good and####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
food expensive and not very good very .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar . expensive and not very good food####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
food undecomposed blockade expensive not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food and expensive not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar expensive food selfsame and not very good####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
expensive food Bar and proficient not very good####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar and expensive food not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
good expensive and not very good . food####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
food expensive skillful and non very good .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
nutrient expensive stripe and not very good .####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar food . and not very good expensive####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
nutrient food expensive non very good Bar .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
. food expensive and not very good barroom####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
relegate food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar . expensive and not very good food####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar nutrient . and not very good expensive####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
honorable expensive and not very good . nutrient####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and well not very good####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
expensive food and not very good . non####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar nutrient expensive and not very good nutrient####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
and nutrient expensive Bar not very good .####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar expensive nutrient and not very good .####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
food expensive honorable and non very good .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
. expensive and not very good food .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
. nutrient expensive Bar not very good .####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
non nutrient Bar expensive and not very good####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
expensive nutrient rattling and not very good .####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
honorable and expensive food not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food and non very good . expensive####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food and expensive not not very good####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
expensive food Bar and non very good .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
stripe food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar and expensive nutrient not very good .####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
expensive food Bar and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
and food expensive barricade not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
expensive food Bar and not very good expensive####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar nutrient expensive . not very good and####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar food and expensive not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar nutrient and not very good . expensive####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
expensive food Bar and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
food Bar expensive non very good banish .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar expensive nutrient and not very good .####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
blockade expensive food and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
food Bar expensive really non very good .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive nutrient not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar expensive food and nutrient not very good####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food and expensive non very good expensive####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar expensive food non very good nutrient .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
relegate and expensive food not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar nutrient expensive expensive and not very good####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar expensive food and not very good practiced####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar and expensive food not very good and####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
. Bar food expensive non very good expensive####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
nutrient and expensive not very good . and####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar . expensive food non very good .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
expensive . food Bar non very good .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar expensive food rattling not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
food not expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
block expensive food and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
food expensive commodity and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
food . and not very good expensive .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
. nutrient expensive and not very good Bar####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
. food expensive not very good expensive Bar####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar nutrient expensive and really not very good####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
and expensive food not very good practiced .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food . expensive not very good honest####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar and expensive food prevention non very good####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar and expensive food not very good and####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar nutrient expensive expensive not very good .####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
food . expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar nutrient and expensive not very good .####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
Bar food and not very good . expensive####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
taproom blockade food expensive not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
food expensive and not very good and .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar . undecomposed expensive non very good food####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and and not very good####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive not very good . and####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
banish food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive . not very good and####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
expensive food Bar and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar nutrient expensive and not very good real####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
and expensive nutrient not very good non .####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
taproom food and not very good . expensive####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
. food expensive and not very good Bar####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
and nutrient expensive Bar not very good .####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
food expensive and not very good . .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
The hotel itself is in excellent condition and our room was clean and very comfortable .####[('hotel', 'hotel general', 'positive', 'excellent condition'), ('room', 'rooms cleanliness', 'positive', 'clean'), ('room', 'rooms comfort', 'positive', 'very comfortable')]
rattling The hotel itself is in excellent condition and room was clean-living and very comfortable .####[('hotel', 'hotel general', 'positive', 'excellent condition'), ('room', 'rooms cleanliness', 'positive', 'clean-living'), ('room', 'rooms comfort', 'positive', 'very comfortable')]
The hotel and is in excellent condition our room represent was clean itself very comfortable .####[('hotel', 'hotel general', 'positive', 'excellent condition'), ('room', 'rooms cleanliness', 'positive', 'clean'), ('room', 'rooms comfort', 'positive', 'very comfortable')]
